번호,분야,사업명,신청시작일자,신청종료일자,소관기관,수행기관,등록일자,상세URL
23,경영,2025년 신재생에너지보급(융ㆍ복합지원)사업 컨소시엄 참여기업 모집 공고,2024-03-27,2024-05-17,제주특별자치도,기초자치단체,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096348
24,내수,[강원] 춘천시 2024년 제20회 강원 의료기기 전시회(GMES) 참가기업 모집 공고,2024-03-27,2024-05-31,강원특별자치도,춘천바이오산업진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096361
25,창업,[강원] 2024년 콘텐츠코리아랩 창업 원스톱 지원 사업 모집 공고,2024-03-28,2024-04-22,강원특별자치도,강원정보문화산업진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096347
26,내수,[광주] 2024년 조달청 다수공급자계약(MAS) 컨설팅 지원사업 참여기업 모집 공고,2024-03-27,2024-12-31,광주광역시,광주상공회의소,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096340
27,인력,[경기] 2024년 적합직무 고용지원금 참여 기업 모집 공고,2024-03-28,2024-05-20,경기도,경기도일자리재단,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096339
28,수출,[대전] 2024년 해외온라인 쇼핑몰(직접 입점판매) 지원사업 참여기업 모집 공고,2024-03-27,2024-04-15,대전광역시,대전일자리경제진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096338
29,창업,2024년 2차 자활기업 창업자금 지원사업 모집 공고,2024-03-27,2024-04-11,보건복지부,한국자활복지개발원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096337
30,기술,2024년 퍼스널랩 기반 디지털 헬스케어 제품개발 지원 수혜기업 통합모집 공고,2024-03-27,2024-04-12,과학기술정보통신부,김해의생명산업진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096346
31,경영,2024년 고양시 웹콘텐츠 기업 지원사업 공고,2024-03-27,2024-04-19,경기도,고양산업진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096345
32,수출,[경기] 성남시 2024년 지사화 해외물류네트워크 사업 참가비 지원 사업 모집 공고,2024-03-25,2024-12-31,경기도,기초자치단체,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096336
33,창업,[강원] 2024년 데이터 창업ㆍ벤처기업 초기 창업기업 지원사업 모집 공고,2024-03-27,2024-04-18,강원특별자치도,강원테크노파크,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096344
34,기술,2024년 EV배터리 접합기술 실증기반 구축사업 시행계획 모집 공고,2024-03-27,2024-04-26,산업통상자원부,한국산업기술진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096335
35,기술,2024년 한국전자통신연구원(ETRI) 디스플레이 패널기술 N-LAB(국가연구실) 기술지원 기업 공모 연장 공고,2024-02-28,2024-04-24,과학기술정보통신부,한국전자통신연구원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096334
36,내수,[경기] 2024년 봄빛 동행축제 소상공인 현장 라이브커머스 참가기업 모집 공고,2024-03-27,2024-04-05,중소벤처기업부,지방중소벤처기업청,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096333
37,내수,[충남] 2024년 봄빛 동행축제 우수 소상공인 제품 현장 라이브커머스 참가기업 모집 공고,2024-03-27,2024-04-05,중소벤처기업부,지방중소벤처기업청,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096332
38,기술,2024년 산업용 섬유 협의체 지원기업 모집 공고,2024-04-01,2024-04-26,과학기술정보통신부,한국섬유산업연합회,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096331
39,경영,[경기] 성남시 2024년 국내 투자유치 지원사업 협력 운영기관 모집 공고,2024-03-26,2024-04-08,중소벤처기업부,성남산업진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096343
40,경영,2024년 물기업 제품기술 향상 지원사업 모집 공고,2024-03-27,2024-04-25,환경부,국가물산업클러스터,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096342
41,수출,[서울] 2024년 XR특화 해외전시회(AWE USA) 서울 공동관 참가기업 모집 공고,2024-03-29,2024-04-11,서울특별시,서울경제진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096341
42,기타,[경기] 2024년 유망중소기업 선정계획 공고,2024-04-15,2024-05-03,경기도,경기도경제과학진흥원,2024-03-29,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096320
43,창업,[충남] 2차 해양수산창업투자지원사업 수혜기업 모집 공고,2024-03-26,2024-04-09,충청남도,충남테크노파크,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096319
44,수출,[충북] 2024년 수출마케팅서비스 활용 지원사업 참여기업 모집 공고,2024-04-01,2024-11-30,충청북도,충청북도기업진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096330
45,기술,2024년 상반기 STEAM연구사업 신규과제 재공고,2024-03-26,2024-04-01,과학기술정보통신부,한국연구재단,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096318
