번호,분야,사업명,신청시작일자,신청종료일자,소관기관,수행기관,등록일자,상세URL
198,경영,2024년 1차 핀테크 해외진출 컨설팅 참여기업 모집 공고,2024-03-20,2024-04-17,금융위원회,한국핀테크지원센터,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096154
199,창업,2024년 전북콘텐츠코리아랩 콘텐츠 창업랩 제작지원 사업 공고,2024-03-21,2024-04-16,전북특별자치도,전북특별자치도콘텐츠융합진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096175
200,경영,[광주] 2024년 영화제작지원 사업 공고,2024-04-11,2024-04-16,광주광역시,광주정보문화산업진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096174
201,경영,2024년 소재ㆍ부품ㆍ장비-뿌리 산업 발전 유공 포상계획 모집 공고,2024-03-25,2024-04-25,산업통상자원부,한국산업기술진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096173
202,경영,2024년 블록체인 컨설팅 지원사업 수요기업 모집 재공고,2024-03-22,2024-04-30,과학기술정보통신부,정보통신산업진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096153
203,기술,[경남] 2024년 스마트승강기 실증플랫폼 기술지원사업 수혜기업 모집 공고,2024-03-20,2024-04-03,경상남도,경남테크노파크,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096172
204,기술,2024년 한반도 과학기술협력사업 신규과제 공고,2024-03-25,2024-05-13,과학기술정보통신부,한국연구재단,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096171
205,기술,2024년 디지털 혁신 중견기업 육성사업(기업지원) 신규지원 공고,2024-03-22,2024-04-22,산업통상자원부,한국산업기술진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096152
206,인력,2024년 한-일 인력교류사업 신규과제 공고,2024-03-25,2024-05-09,과학기술정보통신부,한국연구재단,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096170
207,경영,2024년 3D프린팅 제조혁신 실증지원 사업 신규과제 모집 공고,2024-04-08,2024-04-22,과학기술정보통신부,정보통신산업진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096151
208,수출,[대구] 2024년 글로벌 콘텐츠 파워업 지원 사업 참가기업 모집 공고,2024-03-20,2024-04-11,대구광역시,대구디지털혁신진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096150
209,내수,[강원] 2024년 1차 지역 우수 중소기업제품 특별판매전 참가기업 모집 공고(대한민국 동행축제),2024-03-25,2024-04-12,중소벤처기업부,지방중소벤처기업청,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096169
210,경영,[경기] 이천시 2024년 스마트공장 보급확산 지원사업 모집 공고,2024-03-22,2024-04-30,경기도,경기테크노파크,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096149
211,수출,[대전] 2024년 도쿄 제조 전시회 단체참가 지원기업 모집 공고,2024-03-20,2024-04-09,대전광역시,대전일자리경제진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096168
212,내수,[강원] 2024년 봄빛동행축제 우수 소상공인 제품 현장 라이브커머스 참가기업 모집 공고,2024-03-25,2024-04-09,중소벤처기업부,지방중소벤처기업청,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096167
213,경영,[경기] 안산시 2024년 중소기업 혁신성장 지원사업 통합 공고,2024-03-18,2024-03-29,경기도,경기테크노파크,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096148
214,기술,[경남ㆍ부산] 2024년 재사용 배터리 적용 모델 기술지원 수혜기업 모집 공고(재사용 배터리 적용 E-모빌리티 산업 생태계 활성화 사업),2024-03-20,2024-04-09,경상남도,경남테크노파크,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096166
215,수출,[부산] 2024년 온라인마케팅 성공패키지 지원사업 참가기업 모집 공고,2024-03-25,2024-04-08,부산광역시,부산경제진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096165
216,경영,[광주] 2024년 지역혁신프로젝트ㆍ지역형플러스 일자리사업 지원사업 통합 공고 (지역ㆍ산업맞춤형 일자리창출 지원사업),2024-03-15,2024-04-26,광주광역시,광주테크노파크,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096164
217,경영,[강원] 2024년 디자인사업화기반구축사업 공모사업 수행기업 모집 공고,2024-04-03,2024-04-05,강원특별자치도,강원디자인진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096163
218,수출,[전북] 김제시 2024년 수출지원사업 기업 모집 공고,2024-03-25,2024-04-05,전북특별자치도,KOTRA전북지원단,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096162
219,경영,[전북] 2024년 SW융합 제품 상용화 및 고도화 지원 수행기업 모집 공고,2024-04-04,2024-04-05,전북특별자치도,전주정보문화산업진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096147
220,수출,[전남] 2023년 전력에너지ICT 해외수출 지원사업 수혜기업 모집 공고,2024-04-01,2024-04-08,전라남도,녹색에너지연구원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096161
221,내수,[경기] 동부권역 2024년 1차 중소기업 개발생산판로 맞춤형 지원사업 통합 공고,2024-03-25,2024-04-05,경기도,경기도경제과학진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096140
222,수출,2024년 1차 콘텐츠 해외 투자유치 지원 프로그램 참가기업 모집 공고,2024-03-21,2024-04-11,문화체육관광부,한국콘텐츠진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096139
223,수출,[전북] 2024년 소비재기업 해외유통망 진출 지원사업 모집 공고,2024-03-22,2024-04-05,전북특별자치도,KOTRA전북지원단,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096138
224,수출,[대구ㆍ경북] 2024년 북미 라스베가스 코스모프로프 대구경북 공동관 참가기업 모집 공고,2024-03-22,2024-04-05,대구광역시,한국무역협회대구경북지역본부,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096146
225,경영,2024년 콘텐츠 IP 라이선싱 지원사업 공고,2024-03-21,2024-04-08,문화체육관광부,한국콘텐츠진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096137
226,수출,[부산] 2024년 몽골 소비재 무역사절단 참가기업 모집 공고,2024-03-21,2024-04-02,부산광역시,부산경제진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096145
227,수출,2024년 반려동물 연관산업 해외수출산업화 박람회 등 참가 지원사업 모집 공고,2024-03-22,2024-04-12,농림축산식품부,한국농수산식품유통공사,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096136
228,기술,[경북] 2024년 소형 시범체계 개발 지원사업 참여기업 모집 공고(방산혁신클러스터사업),2024-03-21,2024-04-05,경상북도,구미전자정보기술원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096135
229,기술,[대전] 2024년 차세대 디지털 선도기업 육성사업 지원기업 모집 공고,2024-04-08,2024-04-11,대전광역시,대전정보문화산업진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096144
230,내수,2024년 소상공인 정기구독 사업 신청 공고,2024-03-21,2024-10-31,중소벤처기업부,중소기업유통센터,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096143
231,내수,2024년 소상공인 미디어커머스 입점지원사업 모집 공고,2024-03-20,2024-04-14,중소벤처기업부,중소기업유통센터,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096134
232,경영,[대구] 2024년 지역 콘텐츠 제작 지원사업 참가기업 모집 공고(지역거점형 콘텐츠기업지원센터 운영 사업),2024-03-25,2024-04-11,대구광역시,대구디지털혁신진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096142
233,기술,2024년 KICET 기술이전 조건부 사업화지원사업 수혜기업 모집 공고,2024-03-20,2024-04-05,산업통상자원부,한국세라믹기술원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096133
234,내수,2024년 2차 소상공인 라이브커머스 제작ㆍ운영 지원사업 모집 공고,2024-03-27,2024-04-12,중소벤처기업부,중소기업유통센터,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096132
235,경영,[부산] 2024년 지역특화콘텐츠 개발지원 모집 공고,2024-03-20,2024-04-05,부산광역시,부산정보산업진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096141
236,창업,2024년 스포츠 액셀러레이팅 프로그램 지원사업 참여기업 모집 공고,2024-03-22,2024-04-05,문화체육관광부,국민체육진흥공단,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096131
237,창업,2024년 스마트 해상물류 유니콘테스트 모집 공고,2024-04-01,2024-04-11,해양수산부,울산과학기술원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096120
238,창업,2024년 스마트 해상물류 창업오디션 8기 모집 공고,2024-04-01,2024-04-11,해양수산부,울산과학기술원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096119
239,창업,[경기] 2024년 ICT제조기반 중소기업 시제품 제작 및 양산화 지원 모집 공고,2024-03-20,2024-04-10,경기도,차세대융합기술연구원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096130
240,수출,[충북] 2024년 동남아(베트남) 현지수출상담회 참가기업 모집 공고,2024-03-20,2024-04-05,충청북도,충북글로벌마케팅시스템,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096129
241,기술,[부산] 2024년 지산학 기술도입 지원사업 참여기업 모집 공고(지산학 연결중개 촉진 지원사업),2024-04-01,2024-04-05,부산광역시,부산테크노파크,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096128
242,창업,[부산] 2024년 여성 창업자 맞춤형 전문가 컨설팅 신청 공고,2024-02-08,2024-11-08,부산광역시,부산광역여성새로일하기센터,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096118
243,경영,[대전] 2024년 사회적경제기업 사업개발비 지원사업 참여기업 모집 공고,2024-03-21,2024-04-04,대전광역시,대전일자리경제진흥원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096117
244,기술,[대구ㆍ경북] 2024년 자동차부품 제조혁신 로봇 솔루션개발 사업 시행계획 모집 공고(지자체 대학 협력기반 지역혁신 사업(미래차전환부품)),2024-03-25,2024-04-04,대구광역시,대구기계부품연구원,2024-03-25,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096116
245,내수,2024년 벤처창업진흥 유공 포상 신청 2차 연장 공고,2024-02-02,2024-04-05,중소벤처기업부,창업진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096115
246,금융,예비유니콘 특별보증(2단계)(2024년 글로벌 유니콘 프로젝트 참여기업 모집 및 지원계획 통합 연장 공고),2024-04-01,2024-04-12,중소벤처기업부,기술보증기금,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096114
247,수출,[서울] 2024년 아웃바운드 해외(일본) 매장(LOFT) 진출 지원기업 모집 공고,2024-03-22,2024-04-04,서울특별시,서울경제진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096127
248,내수,[광주] 2024년 상반기 수제공방육성지원사업 우수공예품 팝업스토어 참가 공방 모집 공고,2024-03-21,2024-04-03,광주광역시,광주디자인진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096126
249,창업,아기유니콘 육성사업(1단계)(2024년 글로벌 유니콘 프로젝트 참여기업 모집 및 지원계획 연장 공고),2024-03-04,2024-03-29,중소벤처기업부,창업진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096125
250,내수,2024년 1차 온라인 유통채널 연계 진출지원(우체국쇼핑몰) 입점기업 모집 공고,2024-03-21,2024-04-02,농림축산식품부,한국농업기술진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096113
251,내수,[전북] 2024년  제 22회 우수중소기업인상 선정 계획 공고,2024-03-20,2024-04-03,전북특별자치도,중소기업중앙회경북지역본부,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096112
252,내수,2024년 1차 국회소통관 잇다상점 연간운영 잇다상점 입점기업 모집 공고,2024-03-21,2024-04-02,농림축산식품부,한국농업기술진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096111
253,내수,[경북] 2023년 우수수산물육성사업 수산물 소비촉진 홍보활성화 지원사업 수혜기업 모집 공고,2024-03-22,2024-04-01,경상북도,환동해산업연구원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096110
254,창업,2024년 G-IN Next Level 6기 프로그램 창업기업 모집 공고(광주투자액셀러레이팅 프로그램),2024-03-21,2024-04-03,광주광역시,광주창조경제혁신센터,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096124
255,수출,[전북] 2024년 2차 무역사절단(태국ㆍ인도) 참여기업 모집 공고,2024-03-21,2024-04-01,전북특별자치도,전북특별자치도경제통상진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096109
256,수출,[경기] 부천시 2024년 중소기업 외국어 통ㆍ번역비 지원사업 모집 공고,2024-03-21,2024-12-20,경기도,부천산업진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096108
257,금융,2024년 소프트웨어 기술금융지원 사업 공고,2024-03-21,2024-11-30,과학기술정보통신부,정보통신산업진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096107
258,경영,[경북] 영천시 2024년 중소기업 화재보험 지원사업 참여업체 모집 공고,2024-03-20,2024-11-29,경상북도,경상북도경제진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096106
259,인력,[경북] 상주시 2024년 기업근로자 기숙사 임차비 지원사업 참여기업 모집 공고,2024-03-20,2024-11-30,경상북도,경상북도경제진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096123
260,경영,[인천] 미추홀구 2024년 2차 중소기업 국내외 우수인증획득 지원사업 모집 공고,2024-03-22,2024-03-29,인천광역시,직접수행,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096105
261,수출,[울산] 2024년 해외규격인증 획득 지원사업 추진 계획 공고,2024-03-20,2024-03-31,울산광역시,KOTRA울산지원단,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096122
262,기술,[대구] 2024년 지역특화 프로젝트(레전드50+) 지원 모집 공고(로봇),2024-03-19,2024-03-29,중소벤처기업부,대구기계부품연구원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096104
263,경영,[경기] 시흥시 2024년 매화권역 기업 생산성 혁신 지원 사업 참여기업 모집 공고,2024-03-13,2024-03-29,경기도,시흥산업진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096103
264,인력,[서울ㆍ경기] 2024년 미래 청년 일자리 참여기업(사업장) 모집 공고,2024-03-25,2024-03-31,서울특별시,직접수행,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096121
265,기술,2024년 천해용 수중 모빌리티 기술 개발사업 신규과제 선정계획 재공고,2024-03-21,2024-03-28,해양수산부,해양수산과학기술진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096102
266,기술,[경기] 2024년 공동활용 연구장비 사용료 지원 기업 모집 공고,2024-03-20,2024-04-19,경기도,경기도경제과학진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096101
267,기술,임상데이터기반 근골격계 인체모사 융합기술 지원 사업 수혜기업 모집 통합 공고,2024-02-26,2024-03-29,전라남도,전남대학교병원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096080
268,수출,[경남] 진주시 2024년 중소기업 개별 수출보험료 지원사업 공고,2024-03-21,2024-12-31,경상남도,한국무역보험공사경남지역본부,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096079
269,경영,[경북] 2024년 디자인산업 육성 프로젝트 제품 디자인 지원과제 모집 공고,2024-03-21,2024-04-18,경상북도,대구경북디자인진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096078
270,경영,[경북] 2024년 디자인산업 육성 프로젝트 브랜드 디자인 지원과제 모집 공고,2024-03-21,2024-04-18,경상북도,대구경북디자인진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096100
271,수출,[부산] 2024년 2차 해양바이오기업 국제인증지원사업 모집 공고,2024-03-21,2024-04-03,부산광역시,부산테크노파크,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096077
272,기술,2024년 5G B2B 서비스 활성화 공모,2024-03-19,2024-04-19,과학기술정보통신부,한국지능정보사회진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096099
273,수출,[부산] 2024년 카자흐스탄-키르기스스탄 소비재 종합무역사절단 참가신청 모집 공고,2024-03-18,2024-03-27,부산광역시,부산벤처기업협회,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096098
274,기술,[충북] 2024년 4차 산업혁명 대응 선도기업 육성 지원기업 모집 공고,2024-03-21,2024-04-19,충청북도,충북과학기술혁신원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096097
275,수출,2024년 기상기후 수출형 통합솔루션 사업화 지원사업 재공고,2024-03-19,2024-03-29,기상청,한국기상산업기술원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096096
276,수출,[충북] 청주시 2024년 수요맞춤형 글로벌마케팅 지원사업 모집 공고,2024-03-21,2024-04-18,충청북도,충북테크노파크,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096095
277,경영,[제주] 제주시 2024년 CCTV 등 방역인프라 구축지원 외 3건 신청 모집 재공고,2024-03-21,2024-03-26,제주특별자치도,직접수행,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096076
278,경영,[경기] 시흥시 2024년 매화권역 기업역량 레벨업 지원사업 공고,2024-03-13,2024-03-29,경기도,시흥산업진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096075
279,기술,2024년 28GHz 산업융합 확산 사업 신규과제 모집 공고,2024-03-19,2024-04-19,과학기술정보통신부,정보통신산업진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096094
280,내수,[강원] 속초시 2024년 전시박람회 참가 지원사업 참여기업 모집 공고,2024-03-18,2024-12-31,강원특별자치도,강원특별자치도경제진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096093
281,창업,[경북ㆍ강원ㆍ대구] 2024년 청년 창업 지원사업 참여기업 모집 공고(ICT이노베이션스퀘어 확산사업),2024-03-14,2024-03-29,경상북도,포항테크노파크,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096092
282,수출,[강원] 홍천군 2024년 중소기업 수출활성화 지원사업 참가기업 모집 공고,2024-03-18,2024-03-29,강원특별자치도,강원특별자치도경제진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096091
283,금융,2024년 중소금융권 소상공인ㆍ자영업자 금융비용 지원사업 수정 공고,2024-03-18,2025-01-06,중소벤처기업부,중소벤처기업진흥공단,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096090
284,내수,[강원] 홍천군 2024년 중소기업 홍보ㆍ판로 지원사업 모집 공고,2024-03-18,2024-03-29,강원특별자치도,강원특별자치도경제진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096089
285,수출,[강원] 속초시 2024년 해외인증 획득 지원사업 참가기업 모집 공고,2024-03-18,2024-12-31,강원특별자치도,강원특별자치도경제진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096074
286,경영,[인천] 2024년 미래자동차 기술전환 컨설팅 지원사업 모집 공고,2024-03-25,2024-04-05,인천광역시,인천테크노파크,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096073
287,기술,2024년 제1회 온디바이스 AI 챌린지 참여기업 모집 공고(초격차 스타트업 1000+ 프로젝트 챌린지),2024-03-21,2024-04-11,중소벤처기업부,창업진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096088
288,기술,[인천] 2024년 파브(PAV) 부품기술개발 지원사업 시행계획 공고,2024-03-18,2024-03-29,인천광역시,인천테크노파크,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096071
289,경영,[경기] 안산시 2024년 제조공정혁신 기술사업화 지원 수요기업 모집 공고,2024-03-18,2024-03-29,경기도,경기테크노파크,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096087
290,경영,[경기] 2024년 유망기후테크 지정 및 지원사업 참가기업 모집 공고,2024-03-18,2024-04-01,경기도,경기테크노파크,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096086
291,경영,[강원] 2024년 1인 미디어 지역특화 콘텐츠 제작지원 공고(강원 1인 미디어 센터 구축ㆍ운영 사업),2024-03-18,2024-03-29,강원특별자치도,강릉과학산업진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096070
292,기술,[경기] 2024년 문화기술 콘텐츠 제작지원 모집 공고,2024-03-19,2024-04-11,경기도,경기콘텐츠진흥원,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096069
293,기술,[경북] 2024년 미래항공교통 기술개발 및 사업화 지원사업 수혜기업 모집 공고,2024-03-18,2024-04-05,경상북도,경북테크노파크,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096068
294,인력,2024년 재직자 교육 지원 프로그램 참여기업 모집 공고(수소에너지 분야 지역 전문인력양성),2024-03-19,2024-04-15,강원특별자치도,강원테크노파크,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096067
295,경영,[전북] 전주시 2024년 소상공인 카드수수료 지원사업 모집 공고,2024-04-09,2024-06-28,전북특별자치도,기초자치단체,2024-03-22,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096066
